Coal,Oil,Gas,Cement,Flaring,Other
2145.491263,2559.10883,1201.862436,43.349101,40.226767,25.765823
2166.10556,2632.290252,1205.237349,45.885581,40.78553,27.658414
2189.646259,2644.236598,1187.618743,46.194121,41.114875,28.792849
2153.509929,2610.822803,1173.784429,46.850744,41.744603,30.450653
2176.462796,2593.582204,1248.121541,45.508881,42.228077,29.383709
2136.484804,2415.427499,1253.226709,41.415652,43.850344,28.463646
1872.668065,2280.456426,1231.750925,29.614644,42.834867,25.65297
1982.983381,2300.353344,1290.5145,31.449235,45.238782,30.852794
1872.951133,2251.761189,1310.473931,32.208358,49.585065,29.649282
1658.503321,2195.781516,1372.082466,35.270345,53.093643,30.722971
1720.268523,2224.219492,1410.366932,36.369227,58.840147,30.861776
1710.368415,2247.447818,1435.02015,39.439018,64.171159,32.424716
1479.001098,2285.320769,1475.99299,39.907292,65.110473,31.245311
1347.797519,2299.606916,1481.713018,39.439018,54.557104,28.644054
1308.479533,2314.675386,1460.391796,40.323535,59.245489,27.841845
1256.201494,2365.28348,1618.720337,38.970745,72.786925,24.694251
1070.723931,2358.831137,1673.9991,40.895869,88.383147,26.310652
878.972885,2049.3365,1653.677852,40.687747,67.684371,25.331754
